epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.1235,1.18484,4.31422,1.74211,0.03077,0.1685,0.02347,0.01859,0.81128,3.76614,1.71564,0.000102436,0.000102436,0.000102436
2,102.088,0.85936,3.6533,1.43059,0.21496,0.4331,0.06978,0.05402,0.97643,2.8331,1.90728,0.000202676,0.000202676,0.000202676
3,163.98,0.89271,3.28015,1.43574,0.22227,0.4922,0.07531,0.05822,0.904,3.08338,1.72136,0.000298783,0.000298783,0.000298783
4,219.462,0.86753,3.04223,1.40032,0.25596,0.419,0.11704,0.08706,0.9066,2.62741,1.73734,0.000294408,0.000294408,0.000294408
5,274.021,0.85281,2.85556,1.37508,0.21102,0.32968,0.16181,0.12697,0.83128,2.43028,1.67269,0.00028821,0.00028821,0.00028821
6,324.005,0.82717,2.71134,1.35655,0.23056,0.34136,0.14956,0.1135,0.83036,2.72029,1.62855,0.000282013,0.000282013,0.000282013
7,374.257,0.81488,2.58668,1.34605,0.25939,0.38086,0.21175,0.16754,0.79941,2.25326,1.57667,0.000275816,0.000275816,0.000275816
8,431.37,0.78073,2.46529,1.30569,0.30994,0.49643,0.23842,0.18868,0.78937,2.11956,1.54961,0.000269618,0.000269618,0.000269618
9,482.609,0.77439,2.35645,1.31173,0.28771,0.48258,0.28041,0.22056,0.81448,1.97237,1.59431,0.000263421,0.000263421,0.000263421
10,532.523,0.77162,2.29262,1.30256,0.38573,0.46273,0.309,0.23919,0.81021,1.94075,1.56295,0.000257223,0.000257223,0.000257223
11,582.884,0.73409,2.19608,1.27508,0.29314,0.4383,0.29402,0.23377,0.79204,1.94698,1.57329,0.000251026,0.000251026,0.000251026
12,639.547,0.73992,2.13701,1.27584,0.41653,0.47304,0.3657,0.29155,0.7804,1.76099,1.53307,0.000244829,0.000244829,0.000244829
13,693.663,0.74216,2.09925,1.28138,0.2829,0.55824,0.32776,0.25826,0.82351,2.01332,1.56491,0.000238631,0.000238631,0.000238631
14,743.929,0.72783,2.05905,1.268,0.3399,0.59811,0.3954,0.32197,0.76149,1.66771,1.53408,0.000232434,0.000232434,0.000232434
15,795.024,0.72276,1.97574,1.25209,0.35534,0.61423,0.4225,0.34549,0.75097,1.60014,1.50909,0.000226236,0.000226236,0.000226236
16,850.573,0.70833,1.9272,1.25118,0.28151,0.60428,0.38523,0.31833,0.7304,1.73006,1.47157,0.000220039,0.000220039,0.000220039
17,901.715,0.70623,1.91271,1.24853,0.31483,0.57469,0.40349,0.32194,0.78071,1.70762,1.52577,0.000213842,0.000213842,0.000213842
18,951.157,0.70698,1.88267,1.24957,0.32961,0.61333,0.4159,0.33842,0.74394,1.65884,1.50074,0.000207644,0.000207644,0.000207644
19,1002.02,0.69171,1.84049,1.23779,0.36936,0.58593,0.45161,0.37518,0.72124,1.69965,1.47014,0.000201447,0.000201447,0.000201447
20,1056.27,0.6904,1.81643,1.24103,0.41238,0.61027,0.50276,0.42045,0.70563,1.54497,1.44769,0.000195249,0.000195249,0.000195249
21,1109.24,0.67751,1.76788,1.22199,0.3467,0.57183,0.53954,0.44125,0.72065,1.55882,1.468,0.000189052,0.000189052,0.000189052
22,1162.43,0.66761,1.69876,1.22583,0.45644,0.51544,0.51968,0.42611,0.74305,1.48596,1.47264,0.000182855,0.000182855,0.000182855
23,1218.67,0.66722,1.70262,1.21538,0.33758,0.55494,0.46817,0.39011,0.71367,1.65241,1.45645,0.000176657,0.000176657,0.000176657
24,1274.22,0.65915,1.634,1.21621,0.39878,0.66607,0.54915,0.45499,0.7153,1.46269,1.44711,0.00017046,0.00017046,0.00017046
25,1324.6,0.65394,1.6334,1.20369,0.61332,0.47087,0.5784,0.48033,0.69139,1.44016,1.43177,0.000164262,0.000164262,0.000164262
26,1374.01,0.64279,1.59254,1.19648,0.57307,0.60441,0.62329,0.52072,0.67618,1.33373,1.41402,0.000158065,0.000158065,0.000158065
27,1424.37,0.65127,1.60041,1.20614,0.54123,0.5999,0.56945,0.47901,0.69558,1.48714,1.43984,0.000151868,0.000151868,0.000151868
